date,heating_degree
2027-01-01,771.7484523348569
2027-02-01,515.6252636084946
2027-03-01,392.77757011694797
2027-04-01,168.703571384942
2027-05-01,51.531047717096925
2027-06-01,2.0464401280009357
2027-07-01,-1.3867319174348195e-18
2027-08-01,0.19489905980961292
2027-09-01,18.16446052597356
2027-10-01,159.30956855040102
2027-11-01,401.3333751460252
2027-12-01,609.0358528540237
2028-01-01,727.0283274928549
2028-02-01,512.3319638340527
2028-03-01,386.45916575286674
2028-04-01,165.9922163477823
2028-05-01,50.70972587730556
2028-06-01,2.0150532041412457
2028-07-01,-1.306566853492201e-18
2028-08-01,0.1919098289658329
2028-09-01,17.870379608985296
2028-10-01,156.75777904225947
2028-11-01,394.8527743432062
2028-12-01,599.1992981151607
2029-01-01,725.8585452726377
2029-02-01,500.5444702085815
2029-03-01,379.05721173269126
2029-04-01,162.8119407295428
2029-05-01,49.735456293464686
2029-06-01,1.9758530555485267
2029-07-01,-1.304385751544294e-18
2029-08-01,0.18817648148081206
2029-09-01,17.528845368980672
2029-10-01,153.75103702719866
2029-11-01,387.2997538596369
2029-12-01,587.7382004183972
2030-01-01,707.800176714092
2030-02-01,492.3574344251199
2030-03-01,372.26497931310985
2030-04-01,159.8949431869151
2030-05-01,48.845452248063296
2030-06-01,1.9406879737294258
2030-07-01,-1.2719650967177281e-18
2030-08-01,0.18482742606946911
2030-09-01,17.214456507322353
2030-10-01,150.99772085271883
2030-11-01,380.3559841128552
2030-12-01,577.2005164492147
2031-01-01,696.7632533320166
2031-02-01,482.9805019862366
2031-03-01,365.4091163242407
2031-04-01,156.95006462309973
2031-05-01,47.94541204391852
2031-06-01,1.9048522255314104
2031-07-01,-1.252118771516342e-18
2031-08-01,0.18141449766965811
2031-09-01,16.897540612842597
2031-10-01,148.21617640539174
2031-11-01,373.3526316319996
2031-12-01,566.5728655288895
2032-01-01,683.2801349082952
2032-02-01,474.304976025576
2032-03-01,358.75282925111605
2032-04-01,154.0911255153787
2032-05-01,47.07222593932863
2032-06-01,1.870190997605866
2032-07-01,-1.2278937498984744e-18
2032-08-01,0.17811342834341579
2032-09-01,16.589689264271104
2032-10-01,145.5165405265613
2032-11-01,366.5510442407215
2032-12-01,556.2512199956121
2033-01-01,671.0911963491801
2033-02-01,465.57823462623685
2033-03-01,352.18877760998015
2033-04-01,151.27171706594996
2033-05-01,46.210877914370144
2033-06-01,1.835957516724331
2033-07-01,-1.2059876146060373e-18
2033-08-01,0.17485309683088862
2033-09-01,16.286168180780418
2033-10-01,142.85393824255954
2033-11-01,359.84454767313935
2033-12-01,546.0739480833751
2034-01-01,658.7103704991863
2034-02-01,457.0939623115889
2034-03-01,345.7563085558658
2034-04-01,148.50885993010957
2034-05-01,45.3668994603282
2034-06-01,1.8024309795189262
2034-07-01,-1.1837393486257731e-18
2034-08-01,0.17166009328751675
2034-09-01,15.988706091950949
2034-10-01,140.2448580360969
2034-11-01,353.27215744629655
2034-12-01,536.1001582359015
2035-01-01,646.7198582151009
2035-02-01,448.7318845231657
2035-03-01,339.43678054574445
2035-04-01,145.79449960552859
2035-05-01,44.537698699765514
2035-06-01,1.769484893396361
2035-07-01,-1.1621914288213784e-18
2035-08-01,0.16852237079965338
2035-09-01,15.696476888696278
2035-10-01,137.68152940281675
2035-11-01,346.81529648418643
2035-12-01,526.3016982772315
2036-01-01,634.883531488761
2036-02-01,440.53560894290695
2036-03-01,333.2345549119289
2036-04-01,143.13052820567805
2036-05-01,43.72390562363459
2036-06-01,1.7371535939220495
2036-07-01,-1.1409210120396982e-18
2036-08-01,0.16544319942114752
2036-09-01,15.40966803439255
2036-10-01,135.1658041452372
2036-11-01,340.4782350632005
2036-12-01,516.685033018075
2037-01-01,623.2891887864738
2037-02-01,432.48396613863474
2037-03-01,327.14494560359776
2037-04-01,140.51492552854742
2037-05-01,42.92488252489524
2037-06-01,1.7054080624783974
2037-07-01,-1.120085286603684e-18
2037-08-01,0.16241981547413303
2037-09-01,15.128068458956438
2037-10-01,132.69574876592702
2037-11-01,334.2562588164467
2037-12-01,507.24301439166993
2038-01-01,611.8965504617684
2038-02-01,424.58149118797326
2038-03-01,321.16690081036825
2038-04-01,137.94724275167158
2038-05-01,42.14050043589037
2038-06-01,1.6742446323689788
2038-07-01,-1.0996121013779492e-18
2038-08-01,0.1594518697494265
2038-09-01,14.851627297717556
2038-10-01,130.27094959267828
2038-11-01,328.1482639665101
2038-12-01,497.97396496625504
2039-01-01,600.716119927245
2039-02-01,416.8226178241163
2039-03-01,315.2979837195614
2039-04-01,135.42643205071315
2039-05-01,41.37043604335365
2039-06-01,1.6436498817102363
2039-07-01,-1.0795202391297173e-18
2039-08-01,0.15653808397240337
2039-09-01,14.580232746753097
2039-10-01,127.89041308271825
2039-11-01,322.1517722470001
2039-12-01,488.8741248621666
2040-01-01,589.7384045247635
2040-02-01,409.20584591284336
2040-03-01,309.53635771386575
2040-04-01,132.95170502581084
2040-05-01,40.614449779338614
2040-06-01,1.6136145206312922
2040-07-01,-1.059792677607892e-18
2040-08-01,0.15367757339345633
2040-09-01,14.313799527324514
2040-10-01,125.55339630119192
2040-11-01,316.2649025599473
2040-12-01,479.940639082952
2041-01-01,578.9619217698892
2041-02-01,401.7281339706986
2041-03-01,303.8799998546669
2041-04-01,130.52219260387983
2041-05-01,39.872275652656185
2041-06-01,1.5841278909938628
2041-07-01,-1.040426738229313e-18
2041-08-01,0.1508693229517964
2041-09-01,14.05223423120804
2041-10-01,123.25907790550269
2041-11-01,310.485589796452
2041-12-01,471.17037391928824
